Date,Open,High,Low,Close,Adj Close,Volume
2008-04-08,8.046669999999999,8.25,7.94667,8.02,3.2945830000000003,1862334.0
2008-04-09,7.99667,8.123330000000001,7.9366699999999994,7.99667,3.285,1365903.0
2008-04-10,8.0,8.06667,7.8,7.91,3.249396,1978695.0
2008-04-11,7.99667,8.02667,7.7666699999999995,7.83333,3.2179,1095621.0
2008-04-14,7.7333300000000005,7.86333,7.70667,7.77,3.191884,1388940.0
2008-04-15,7.84333,7.85,7.63,7.75,3.183669,1125906.0
2008-04-16,7.86667,8.06667,7.70333,8.046669999999999,3.305539,2995698.0
2008-04-17,8.11,8.126669999999999,7.98,8.06667,3.3137550000000005,1726905.0
2008-04-18,8.09667,8.28,8.02,8.27,3.397282,2222307.0
2008-04-21,8.3,8.3,8.00667,8.07,3.3151230000000003,1740591.0
2008-04-22,8.06667,8.48333,8.02667,8.293330000000001,3.4068660000000004,2843202.0
2008-04-23,8.27333,8.44,8.25,8.35,3.4301459999999997,3103017.0
2008-04-24,8.35,8.53,8.27667,8.38667,3.44521,2317665.0
2008-04-25,8.66,9.11667,8.61667,8.83667,4.039474,5537874.0
2008-04-28,8.9,8.98,8.786669999999999,8.82,4.031854,1692225.0
2008-04-29,8.796669999999999,8.86667,8.52333,8.60667,3.934335,2260899.0
2008-04-30,8.58333,8.72333,8.39667,8.67667,3.966334,2330076.0
2008-05-02,8.73333,8.9,8.62,8.81667,4.030330999999999,2573109.0
2008-05-05,8.796669999999999,8.96667,8.72333,8.81333,4.028804,1931094.0
2008-05-06,8.89,8.93,8.796669999999999,8.81667,4.030330999999999,1538061.0
2008-05-07,8.81667,8.96667,8.71667,8.91667,4.0760440000000004,2278791.0
2008-05-08,8.796669999999999,9.11333,8.77333,9.03333,4.129372,1740330.0
2008-05-09,8.98667,9.05333,8.74333,8.796669999999999,4.021189,1268862.0
2008-05-12,8.84333,8.93333,8.83333,8.876669999999999,4.057759,972696.0
2008-05-13,8.93333,9.02,8.876669999999999,8.92,4.077566,1392894.0
2008-05-14,8.93333,8.98667,8.876669999999999,8.96667,4.0989,759513.0
2008-05-15,8.98333,9.08667,8.98333,9.08333,4.152229,1466208.0
2008-05-16,9.11333,9.25,9.08,9.10667,4.162898,1240809.0
2008-05-19,9.17,9.21667,8.99333,9.17,4.191848,1082373.0
2008-05-20,9.13333,9.13333,8.84667,8.86667,4.053188,1080159.0
2008-05-21,8.93,8.93333,8.57,8.626669999999999,3.9434769999999997,1460553.0
2008-05-22,8.53333,8.59333,8.41333,8.53,3.899287,1310556.0
2008-05-23,8.49667,8.61333,8.39333,8.51,3.8901440000000003,1466889.0
2008-05-26,8.48333,8.52667,8.36667,8.39667,3.838339,701868.0
2008-05-27,8.46,8.46,8.19667,8.3,3.7941480000000003,1633968.0
2008-05-28,8.35,8.75333,8.293330000000001,8.45,3.862717,1794735.0
2008-05-29,8.5,8.58,8.33333,8.42,3.8490029999999997,1349418.0
2008-05-30,8.48667,8.66667,8.40667,8.543330000000001,3.90538,1847151.0
2008-06-02,8.56,8.56,8.3,8.43,3.853575,1632105.0
2008-06-03,8.43333,8.60333,8.38667,8.51333,3.891667,1518645.0
2008-06-04,8.53333,8.64667,8.35,8.58667,3.925192,1869552.0
2008-06-05,8.543330000000001,8.543330000000001,7.933330000000001,8.02667,3.669201,4317147.0
2008-06-06,8.08333,8.123330000000001,7.74333,7.78667,3.5594910000000004,3450318.0
2008-06-09,7.7333300000000005,7.83333,7.49333,7.53,3.442161,2140692.0
2008-06-10,7.46,7.53333,7.36,7.393330000000001,3.379686,2141550.0
2008-06-11,7.4,7.46333,7.15,7.263330000000001,3.3202589999999996,2132694.0
2008-06-12,7.2266699999999995,7.33,7.12667,7.3,3.337022,1523223.0
2008-06-13,7.26,7.40667,7.2,7.38333,3.375114,1773270.0
2008-06-16,7.433330000000001,7.48,7.30333,7.34667,3.3583559999999997,1281993.0
2008-06-17,7.38,7.71667,7.33333,7.61,3.478731,2987151.0
2008-06-18,7.6,7.6,7.2,7.30333,3.338544,2873319.0
2008-06-19,7.263330000000001,7.30333,7.17,7.223330000000001,3.301974,1486686.0
2008-06-20,7.33,7.58333,7.2333300000000005,7.25667,3.317214,3745650.0
2008-06-23,7.2333300000000005,7.79333,7.223330000000001,7.4833300000000005,3.4208269999999996,3195879.0
2008-06-24,7.4366699999999994,7.51,7.24333,7.433330000000001,3.3979699999999995,3066615.0
2008-06-25,7.4366699999999994,7.64,7.37,7.17333,3.279118,2003535.0
2008-06-26,7.106669999999999,7.17333,6.88,6.893330000000001,3.78416,3487485.0
2008-06-27,7.0,7.0,6.66667,6.8066699999999996,3.736588,2194797.0
2008-06-30,6.816669999999999,6.87,6.6,6.8,3.7329260000000004,2600490.0
2008-07-01,6.776669999999999,6.776669999999999,6.45667,6.67667,3.665223,2183430.0
2008-07-02,6.68,6.83667,6.5,6.54,3.5901959999999997,3480273.0
2008-07-03,6.433330000000001,6.5,6.2666699999999995,6.45333,3.542619,3693861.0
2008-07-04,6.5,6.54333,6.38,6.40667,3.517004,724899.0
2008-07-07,6.5,6.59,6.43,6.5566699999999996,3.5993480000000004,1348521.0
2008-07-08,6.41,6.55,6.3066699999999996,6.45,3.5407900000000003,1939914.0
2008-07-09,6.56,6.62,6.37,6.5633300000000006,3.603004,2237967.0
2008-07-10,6.43,6.65,6.41333,6.46333,3.548108,1608123.0
2008-07-11,6.48,6.54667,6.20667,6.236669999999999,3.4236809999999998,1989027.0
2008-07-14,6.35,6.42,6.15333,6.23,3.4200190000000004,2319255.0
2008-07-15,6.16,6.21,5.84333,5.98,3.282779,2622459.0
2008-07-16,6.0,6.45,5.91667,6.38667,3.506025,2471862.0
2008-07-17,6.50333,6.896669999999999,6.49333,6.85,3.7603739999999997,3780381.0
2008-07-18,6.8,7.28333,6.65333,6.96333,3.8225870000000004,3650643.0
2008-07-21,6.9766699999999995,7.12,6.85,7.05333,3.8719940000000004,1711668.0
2008-07-22,6.94,7.11667,6.63667,7.04667,3.8683370000000004,2796801.0
2008-07-23,7.1866699999999994,7.45667,7.183330000000001,7.38667,4.054983999999999,2441004.0
2008-07-24,7.486669999999999,7.54667,7.00667,7.0566699999999996,3.873828,2308425.0
2008-07-25,6.92667,7.08,6.84,7.00333,3.844546,2362683.0
2008-07-28,7.00333,7.04333,6.87,6.88667,3.780504,1684914.0
2008-07-29,7.03333,7.106669999999999,6.88667,6.93,3.80429,3066600.0
2008-07-30,7.11,7.16667,6.986669999999999,7.04667,3.8683370000000004,1667400.0
2008-07-31,7.04667,7.08333,6.91333,6.95,3.8152699999999995,2233500.0
2008-08-01,6.94,6.95333,6.7733300000000005,6.82333,3.745733,1794600.0
2008-08-04,6.893330000000001,6.933330000000001,6.66667,6.72,3.6890089999999995,1898100.0
2008-08-05,6.7333300000000005,7.15,6.7333300000000005,7.103330000000001,3.8994419999999996,2251800.0
2008-08-06,7.16333,7.58333,7.07,7.55333,4.1464739999999995,3196200.0
2008-08-07,7.53333,7.5633300000000006,7.36333,7.5166699999999995,4.126348999999999,3057300.0
2008-08-08,7.36667,7.83667,7.34667,7.80333,4.283714,2603400.0
2008-08-11,7.853330000000001,8.22,7.776669999999999,8.19,4.49598,3054300.0
2008-08-12,8.15667,8.32333,8.05667,8.18,4.4904910000000005,3153900.0
2008-08-13,8.213330000000001,8.213330000000001,7.83333,7.92,4.347761,1783800.0
2008-08-14,7.9433300000000004,8.1,7.83667,8.0,4.391678,1918500.0
2008-08-15,8.09667,8.21,7.95667,8.05,4.419127,1672200.0
2008-08-18,8.05,8.213330000000001,7.96667,8.14333,4.470358999999999,1170684.0
2008-08-19,8.07333,8.07667,7.853330000000001,7.88667,4.329464,1974213.0
2008-08-20,7.896669999999999,8.0,7.78,7.89,4.3312919999999995,1427004.0
2008-08-21,7.83333,8.11333,7.71,7.933330000000001,4.355079,1794792.0
2008-08-22,7.99333,8.213330000000001,7.85,8.213330000000001,4.508787,2698974.0
2008-08-25,8.213330000000001,8.213330000000001,8.15333,8.21,4.506958999999999,1329813.0
2008-08-26,8.06667,8.213330000000001,7.87667,7.9766699999999995,4.37887,2490699.0
2008-08-27,7.9766699999999995,8.046669999999999,7.80333,8.0,4.391678,2529030.0
2008-08-28,8.02667,8.15667,7.78,8.08,4.435594,1669437.0
2008-08-29,8.13667,8.24,8.01,8.13333,4.464871,1881348.0
2008-09-01,8.06667,8.296669999999999,8.0,8.23667,4.5216,2296419.0
2008-09-02,8.206669999999999,8.47,8.18,8.33667,4.576496,2710578.0
2008-09-03,8.33667,8.48,8.23,8.39,4.605772,3112182.0
2008-09-04,8.43,8.43,8.09333,8.13333,4.464871,2672562.0
2008-09-05,8.06333,8.11667,7.84667,7.89,4.3312919999999995,2727915.0
2008-09-08,8.15333,8.4,8.11,8.17667,4.488662000000001,2698980.0
2008-09-09,8.126669999999999,8.43333,8.126669999999999,8.24667,4.52709,1889721.0
2008-09-10,8.24667,8.39333,8.13667,8.24667,4.52709,1761369.0
2008-09-11,8.213330000000001,8.28333,8.0,8.06667,4.428277,2755269.0
2008-09-12,8.16333,8.38667,8.06,8.17667,4.488662000000001,2270472.0
2008-09-15,8.10667,8.15667,7.86333,8.02,4.402658,2577093.0
2008-09-16,8.0,8.286669999999999,7.83333,8.01333,4.398996,5412666.0
2008-09-17,8.12,8.19333,7.74667,7.78333,4.272735,3478599.0
2008-09-18,7.59,8.0,7.58,7.86667,4.318485,4287072.0
2008-09-19,8.036669999999999,8.42,7.76,8.33333,4.574663,4711080.0
2008-09-22,8.3,8.33333,8.06667,8.24,4.523428,3444021.0
2008-09-23,8.11667,8.15333,7.66667,7.736669999999999,4.247121,3396525.0
2008-09-24,7.75,7.896669999999999,7.66667,7.8066699999999996,4.285548,2077113.0
2008-09-25,7.933330000000001,8.0,7.71667,7.92,4.347761,2005104.0
